HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
Medium,,,,High,Medium,InProgress,,2022-12-14T00:00:00Z,2023-02-20T00:00:00Z,NotDefined,NotDefined,NotDefined,NotDefined,NotDefined,sathiyaselvi.sathiyaselvi@ibm.com,adam.szabo@ibm.com,sevansu.patel@ibm.com,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue Counters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Issues,Medium Issues,Low Issues,Informational Issues,Total Issues,New Issues,Open Issues,In Progress,Fixed Issues,Noise Issues,Passed Issues,,,,,,,,,,,,,,,,,,,,,,,
206,106,221,0,533,533,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue Id,Severity,Severity Id,Issue Type Name,Remediation,Threat Class,Security Risk,Cause,Application Id,Cvss,Cwe,Cve,Last Comment,Location,Status,Date Created,Last Updated,Api,Line,Calling Method,Class,Discovery Method,Host,Port,Domain,Element,Package,Path,Scheme,Source File,Fix Group Id,Resolution,Description,Last Found
923654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js:221,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
953654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js:320,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
983654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js:337,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
9b3654a4-ccae-ed11-9173-14cb6572319f,High,3,Command Injection,All external input passed into these commands must be carefully validated and sanitized,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,78,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js:340,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\diskLabels.js,f5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
